SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC50389,50,82,11,140,21,58,4,81,20,86,6,108,59,149,8,220,90,182,16,290,62,171,15,248,66,148,10,223,26,49,12,82,5,14,3,19,385,941,82,1406,31,80,9,120,13,37,3,56,32,89,8,129,107,133,9,254,107,201,15,322,88,177,10,272,76,139,10,229,26,52,6,83,3,11,0,18,481,927,70,1475,77,163,17,263,33,96,8,137,55,169,16,241,161,286,20,472,198,388,26,610,149,348,23,521,141,284,20,452,52,103,17,168,4,29,4,37,868,1859,153,2885
SSC50390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,3,7,3,0,9,0,0,0,0,0,0,0,0,5,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,5,0,3,0,3,0,0,0,0,0,0,0,0,3,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,3,0,9,3,8,0,13,0,0,0,0,0,0,0,0,12,23,0,34
SSC50391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,6
SSC50392,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,13,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,12,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,3,0,9,3,3,0,8,0,0,0,3,3,0,0,3,0,0,0,0,10,9,6,28
SSC50393,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,4,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,4,0,4,3,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,5,11,0,24
SSC50394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11
SSC50395,32,112,9,157,9,77,7,91,30,220,27,275,57,288,25,368,55,302,33,390,46,281,37,366,76,305,39,416,20,123,24,171,0,18,4,21,341,1732,197,2261,25,115,12,151,22,95,5,120,48,275,18,341,98,275,27,401,87,249,16,351,60,314,22,396,79,312,37,429,13,78,15,111,0,12,0,16,432,1723,155,2312,60,233,16,306,29,172,12,212,74,496,44,614,159,566,53,774,149,546,50,742,110,600,52,756,155,611,77,847,42,201,37,281,4,25,8,33,769,3447,354,4573
SSC50396,11,42,7,60,8,92,12,118,40,359,30,434,42,190,16,248,21,100,8,136,3,49,7,53,3,24,0,30,0,5,0,8,0,0,0,3,141,864,79,1084,14,31,0,50,20,103,7,128,51,359,30,445,40,178,12,231,18,76,10,102,9,57,4,67,8,31,0,34,0,6,0,6,0,0,0,0,158,845,71,1066,28,71,8,108,29,191,24,244,93,722,58,876,84,368,27,483,34,183,16,238,15,102,10,128,5,57,0,65,0,11,0,18,0,3,0,4,297,1708,145,2154
SSC50397,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,0,0,0,0,0,3,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,11,8,15,0,0,0,0,0,4,0,4,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,0,0,0,0,0,0,0,0,4,5,10,0,4,0,0,0,0,3,3,0,3,3,8,0,3,0,3,0,0,0,0,0,0,0,0,0,17,11,27
SSC50398,0,6,3,6,0,7,0,10,0,18,5,20,3,7,0,8,9,16,3,22,4,28,5,36,3,5,3,15,0,3,0,3,0,0,0,0,28,88,16,127,3,7,4,11,0,3,0,3,4,11,0,15,11,11,0,16,11,29,0,41,9,14,3,28,0,7,0,10,0,5,0,4,0,0,0,0,30,81,9,123,4,13,8,18,0,8,0,12,6,30,8,43,10,16,0,30,15,43,5,58,11,41,9,63,4,12,3,26,0,5,0,7,0,0,0,0,58,167,30,252
SSC50399,7,35,3,52,0,23,0,31,15,26,7,50,16,43,4,58,17,42,10,74,9,36,8,47,3,18,3,26,0,9,0,9,0,0,0,0,68,239,33,343,9,22,3,36,0,24,5,26,17,33,3,52,27,37,3,65,18,43,5,72,8,34,3,46,0,16,0,15,0,6,0,6,0,0,0,0,87,218,29,332,17,60,7,85,5,51,6,57,29,61,12,101,37,77,10,121,43,91,19,148,22,65,13,100,4,34,3,44,0,12,0,15,0,3,0,3,157,453,62,676
SSC50400,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,5,0,0,0,3,4,0,0,4,4,7,0,8,0,0,0,0,0,0,0,0,10,10,3,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,3,0,8,3,3,0,4,0,0,0,0,0,0,0,0,7,9,0,20,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,7,0,0,3,6,3,6,0,10,4,10,0,14,0,0,0,0,0,0,0,0,23,23,3,43
SSC50401,0,3,0,3,0,0,0,4,0,3,0,3,0,3,0,0,4,8,0,12,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,39,0,0,0,3,0,0,0,0,3,0,0,3,7,0,0,7,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,13,10,0,25,3,3,0,4,0,0,0,4,3,9,0,6,8,0,0,5,8,5,0,15,9,5,0,14,0,4,0,4,0,0,0,4,0,3,0,3,22,38,3,62
SSC50402,0,4,0,5,0,8,0,18,13,23,6,38,20,34,8,61,15,27,12,51,24,34,3,64,22,47,11,81,3,13,3,19,0,3,0,10,91,199,49,334,0,4,0,7,3,9,5,18,17,27,7,49,26,24,0,50,19,20,9,48,21,29,3,51,20,25,4,52,3,13,0,13,0,3,0,5,107,151,32,295,3,8,3,14,4,24,9,35,27,52,14,91,42,56,13,110,30,51,17,94,42,65,4,113,43,73,16,126,7,18,4,31,0,7,3,14,200,347,79,635
SSC50403,21,80,9,114,7,31,3,37,21,46,6,80,39,80,18,137,54,79,12,147,47,112,19,183,53,105,17,166,24,59,6,96,4,18,5,31,266,614,102,987,24,82,11,114,0,22,4,26,27,76,13,115,67,82,16,165,57,108,16,176,63,95,21,179,74,119,22,216,26,82,13,121,0,34,6,48,330,709,124,1166,48,164,25,229,4,54,6,66,46,123,22,194,105,166,34,298,106,188,30,321,109,214,42,360,123,223,40,382,52,143,23,218,10,53,17,78,600,1323,231,2152
SSC50404,14,57,29,106,15,53,44,110,35,164,87,279,46,148,77,267,47,146,54,239,54,153,33,236,13,83,17,111,0,26,4,35,0,9,0,9,223,827,340,1392,6,49,30,82,9,83,26,111,41,196,59,293,67,146,34,248,53,148,51,245,49,142,24,222,26,48,11,84,7,16,9,27,0,7,0,11,259,836,241,1328,24,111,54,191,26,130,73,227,73,355,140,577,113,289,116,509,95,292,102,486,107,295,55,455,37,135,32,201,7,40,15,64,0,19,0,22,477,1663,582,2726
SSC50405,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,13,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,3,3,0,9,4,0,0,7,0,0,0,0,3,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,13,9,0,18
SSC50406,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,3,3,4,6,0,0,0,0,0,0,0,0,5,10,4,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,13,0,0,0,0,0,0,0,3,0,7,0,7,0,3,0,3,0,0,0,3,3,7,0,6,3,4,4,10,0,0,0,0,0,0,0,0,6,22,6,34
SSC50407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,20
SSC50408,164,499,31,695,134,540,39,712,183,1356,91,1627,228,1215,75,1520,287,1191,81,1554,209,1052,71,1332,189,746,62,993,128,571,71,766,23,201,28,256,1536,7363,554,9458,201,468,44,710,157,541,31,736,241,1195,69,1508,347,1160,82,1586,360,1233,69,1664,252,1150,68,1468,195,921,85,1204,141,738,111,983,27,336,57,420,1913,7750,617,10277,363,959,75,1402,288,1080,77,1448,419,2551,163,3136,576,2369,159,3104,647,2419,157,3222,459,2208,134,2799,385,1670,148,2199,268,1306,176,1754,50,538,91,673,3449,15109,1177,19738
SSC50409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,5,4,17
SSC50410,4,8,3,10,0,0,0,3,0,3,0,4,4,4,0,15,10,9,3,22,3,11,0,18,0,7,0,9,0,0,0,3,0,0,0,0,30,44,13,83,3,3,0,5,0,0,0,0,8,0,0,5,8,6,0,9,14,7,3,22,7,10,3,16,0,3,3,10,0,0,0,0,0,0,0,0,34,30,6,73,3,14,4,18,3,3,0,5,9,3,0,12,15,12,0,23,26,8,8,43,4,26,5,37,3,12,4,14,0,5,0,7,0,0,0,0,62,78,18,155
SSC50411,0,0,0,0,0,0,0,0,0,7,0,10,4,5,0,12,3,6,0,13,3,6,0,7,6,4,0,12,0,0,0,0,0,0,0,0,18,31,7,51,0,0,0,0,0,3,0,3,0,5,0,9,7,3,0,8,4,9,0,15,3,9,0,10,0,3,0,5,0,0,0,0,0,0,0,0,20,24,0,42,0,0,0,0,0,3,0,0,3,13,0,11,13,9,0,20,11,11,0,27,9,7,0,19,3,11,0,12,0,0,0,0,0,0,0,0,36,51,4,95
SSC50412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC50413,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,3,0,3,0,7,0,3,0,3,0,3,0,3,0,0,0,0,4,17,4,23,0,0,3,3,0,0,0,0,0,0,0,0,3,4,0,7,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,20,0,0,3,5,0,0,0,0,0,0,0,0,5,7,0,8,3,7,3,12,0,7,3,7,0,3,0,3,0,3,0,3,0,0,0,0,6,21,6,40
SSC50414,10,51,7,68,10,44,3,57,41,187,27,253,73,177,23,273,54,119,13,190,26,90,17,137,11,29,4,40,0,5,0,6,0,0,0,0,224,703,96,1025,10,32,8,52,12,54,0,67,65,214,30,299,100,170,25,297,46,108,14,165,32,92,20,141,7,19,3,30,0,6,3,9,0,0,0,3,274,696,100,1068,19,88,11,120,21,99,5,123,100,397,49,554,173,342,52,566,96,229,28,355,62,181,36,276,21,46,6,72,0,8,3,18,0,4,0,3,496,1400,192,2088
SSC50415,13,28,3,42,3,13,0,20,9,39,3,53,16,52,8,77,26,47,10,80,14,75,11,105,27,68,10,103,8,34,13,53,0,15,3,16,115,378,60,552,9,14,5,35,5,13,3,22,18,42,6,61,34,41,5,79,24,53,5,85,31,80,9,117,36,72,11,120,14,18,9,38,0,7,0,13,178,347,51,575,21,46,13,74,9,30,3,42,25,76,10,118,50,88,10,154,50,104,9,170,46,158,22,228,64,142,19,224,22,51,20,91,0,26,3,32,296,726,116,1129
SSC50416,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,10,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,4,3,0,0,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,16,7,7,25
SSC50417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5
SSC50418,10,53,5,65,9,42,12,64,27,124,8,159,40,99,13,153,32,101,10,150,53,111,16,185,46,114,24,178,12,59,11,90,0,22,0,21,238,721,108,1067,13,39,5,54,17,43,9,67,40,108,12,160,70,95,15,178,52,122,14,184,52,140,21,206,52,107,18,181,30,59,27,114,4,39,8,48,323,735,123,1184,19,87,15,122,28,89,18,130,63,229,15,314,107,194,32,328,82,226,25,332,103,248,41,389,100,217,39,361,46,118,38,203,8,60,8,76,561,1462,230,2249
SSC50419,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,0,0,3,0,3,0,3,0,0,0,0,4,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,3,0,0,0,0,3,12,3,13,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,5,4,3,3,11,0,3,0,3,0,4,0,4,0,0,0,0,9,21,8,35
SSC50420,0,3,0,0,0,0,0,0,4,0,0,4,3,0,0,3,3,6,0,5,4,0,0,10,4,3,0,7,0,3,0,4,0,0,0,0,15,17,3,33,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,0,11,3,9,0,10,6,0,0,7,0,0,0,0,0,0,0,0,10,17,4,29,0,4,0,8,0,0,0,0,3,4,3,9,3,0,0,3,5,7,0,16,9,11,0,18,9,3,0,12,0,3,0,3,0,0,0,0,33,28,7,69
SSC50421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50422,72,136,20,227,31,165,8,208,99,595,83,780,124,461,56,641,122,373,51,547,82,320,39,440,38,147,16,208,27,82,5,118,8,55,8,71,603,2335,294,3234,79,141,11,236,50,160,19,232,143,619,81,840,204,436,53,685,178,389,51,614,103,335,26,463,70,181,20,271,35,128,25,193,6,73,9,87,863,2462,293,3621,149,271,33,460,82,330,30,436,243,1212,163,1619,324,893,111,1328,298,760,98,1155,184,660,63,905,112,329,35,475,61,212,31,308,7,127,20,161,1460,4797,590,6851
SSC50423,3,8,0,11,0,9,0,9,11,11,0,14,8,17,3,33,11,19,3,39,13,14,0,28,10,22,3,32,7,0,3,13,0,3,0,0,67,103,13,179,3,3,0,8,3,7,0,11,14,12,3,25,15,4,0,29,16,12,0,22,14,18,4,39,12,9,3,32,9,9,0,17,0,3,0,3,91,78,15,185,3,9,0,19,3,13,0,16,18,24,3,44,28,20,9,55,28,36,3,61,29,35,4,70,23,31,5,66,13,6,3,27,0,5,0,10,159,180,29,364
SSC50424,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,3,6,3,0,3,9,0,3,3,9,0,0,0,0,0,0,0,0,3,9,10,22,0,0,0,5,4,0,0,4,3,0,0,4,0,0,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,22,0,0,0,3,0,0,0,0,3,3,0,8,0,0,0,3,0,7,3,12,3,4,3,15,0,3,3,7,0,0,0,0,0,0,0,0,9,23,11,41
SSC50425,9,33,9,47,0,30,9,37,12,84,9,99,33,72,10,118,31,66,13,104,9,55,3,66,8,37,5,46,4,4,0,7,0,3,0,6,102,381,49,536,12,33,7,56,4,28,4,39,20,77,7,106,35,71,4,114,26,72,11,109,11,63,4,81,7,35,3,45,0,12,0,12,0,3,0,0,118,394,48,565,19,71,12,103,8,61,8,76,33,163,13,207,69,146,18,231,52,132,26,207,19,118,12,150,18,68,8,91,3,18,0,23,0,8,0,6,221,781,103,1102
SSC50426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,0,0,0,0,0,0,3,3,0,3,0,7,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,16,6,23
SSC50428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,10
SSC50429,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,0,3,4,9,0,5,0,5,3,3,0,6,0,0,0,0,0,0,0,0,12,17,4,32,0,0,0,0,0,0,0,0,4,0,0,4,5,0,3,8,0,6,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,21,0,0,0,0,0,0,0,0,4,0,0,7,14,3,3,18,4,7,4,14,0,7,0,6,4,4,0,10,0,0,0,0,0,0,0,0,27,24,4,57
SSC50430,26,105,12,146,14,116,7,140,35,238,18,288,38,226,16,282,50,291,35,374,53,328,37,415,84,362,36,488,35,234,20,291,4,91,4,98,336,1998,188,2526,26,135,11,168,19,131,13,167,38,223,16,274,66,225,19,306,72,318,12,399,85,379,38,504,104,382,36,524,45,281,30,353,8,145,19,171,469,2202,196,2871,51,237,24,313,40,248,21,308,71,457,39,571,107,450,32,589,115,605,50,777,136,709,73,915,193,750,74,1016,75,517,50,642,17,228,23,272,801,4207,390,5401
SSC50431,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,7,0,10,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,4,0,0,8,0,3,0,9,0,0,0,0,0,0,0,0,8,8,0,20
SSC50432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,5,0,10,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,11,12,3,23,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,8,10,7,3,16,0,5,3,11,0,0,0,4,0,0,0,0,0,0,0,0,13,22,10,41
SSC50433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,5,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,4,3,3,0,8,0,0,0,0,0,3,0,5,0,0,0,0,4,7,3,19
SSC50434,0,3,0,5,4,5,0,7,0,4,0,8,4,0,0,5,0,18,4,26,7,16,0,19,4,18,7,21,0,3,0,7,0,0,0,0,24,65,10,106,0,0,0,3,0,7,0,4,4,3,0,7,4,3,0,8,3,14,3,14,12,14,3,22,4,10,4,20,0,5,0,3,0,0,0,0,26,55,10,90,0,3,3,7,5,7,0,12,8,7,0,14,3,4,3,16,5,30,3,36,14,26,3,42,11,24,7,42,0,12,0,13,0,3,0,3,51,122,24,188
SSC50435,5,15,9,29,0,3,0,7,0,0,0,0,3,3,0,6,4,9,3,19,3,10,3,17,0,11,0,9,0,0,0,3,0,0,0,0,25,45,19,91,5,7,6,19,0,0,0,3,6,4,0,10,0,3,0,6,7,7,3,19,12,6,0,17,0,0,0,4,0,0,0,4,0,0,0,3,30,31,19,78,14,19,17,45,3,3,0,9,4,4,0,11,4,7,3,12,18,18,7,39,17,11,3,31,0,9,4,13,3,3,0,6,0,0,0,3,58,77,38,166
SSC50436,0,3,0,4,0,4,0,3,11,12,0,19,4,8,3,17,0,10,0,13,3,18,7,26,3,5,3,16,3,5,0,12,0,0,0,0,36,67,15,113,0,0,0,0,0,3,0,3,10,11,0,25,5,11,6,12,3,12,0,11,4,18,5,28,3,9,3,18,8,3,3,12,0,0,0,0,36,66,12,110,0,3,0,4,3,5,3,9,20,19,0,44,7,13,10,28,3,20,0,31,10,33,6,55,8,14,5,30,12,11,7,29,0,0,0,0,69,127,32,227
