SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC50253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,3,0,3,0,3,0,0,0,0,0,0,0,0,4,16,0,23
SSC50254,0,3,0,3,0,27,4,29,0,28,5,33,0,19,0,19,0,16,3,22,0,23,4,28,0,37,5,46,0,35,0,39,0,21,0,21,0,5,0,10,0,0,0,3,5,210,23,246,0,15,0,16,0,18,3,24,0,9,3,15,0,11,4,12,0,14,0,13,0,31,4,35,0,31,6,35,0,25,3,26,0,14,3,14,0,3,0,4,0,0,0,0,3,167,29,196,0,19,0,19,0,46,7,55,0,39,4,46,0,27,4,31,3,26,0,29,0,52,7,60,0,65,13,77,0,63,3,64,0,35,4,41,0,12,0,14,0,0,0,3,8,381,51,442
SSC50255,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,21
SSC50256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50257,0,3,3,6,0,7,0,7,0,4,0,4,0,3,0,3,0,10,0,10,0,4,0,7,0,8,0,8,0,6,0,13,0,3,0,7,0,3,0,5,0,0,0,0,0,53,4,64,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,6,0,8,0,9,0,7,0,13,0,13,0,6,0,5,0,4,0,4,0,3,0,3,0,0,0,0,0,50,5,53,0,3,3,6,0,17,0,17,0,5,0,5,0,0,0,0,0,15,0,18,0,14,3,19,0,22,0,23,0,15,3,17,0,11,3,12,0,6,0,5,0,3,0,3,0,103,10,116
SSC50258,0,9,0,9,0,4,0,4,0,0,0,6,0,4,0,4,0,4,0,4,0,3,0,3,0,4,0,4,0,18,0,18,3,3,0,6,0,0,0,6,0,0,0,0,3,53,0,57,0,3,0,3,0,7,0,7,0,4,0,4,0,3,0,3,0,3,0,3,0,3,0,8,0,7,0,7,0,8,0,8,0,7,0,7,0,0,0,4,0,0,0,0,0,44,3,45,0,6,0,6,0,11,0,11,0,5,0,5,0,4,0,9,0,12,0,12,0,3,0,6,0,18,0,18,0,22,0,22,3,7,0,16,0,3,4,6,0,0,0,0,8,95,4,107
SSC50259,0,35,0,35,4,73,0,80,0,49,3,56,0,39,0,43,3,50,0,55,0,74,5,78,0,99,4,107,7,47,7,56,3,41,0,44,3,8,3,12,0,0,0,0,22,517,24,568,0,26,0,27,3,90,3,96,0,47,0,47,0,38,4,41,0,43,3,51,0,86,4,93,0,91,6,104,0,49,3,55,3,26,0,31,0,4,0,4,0,0,0,0,9,511,19,543,0,58,3,62,10,163,3,175,0,96,3,102,0,77,0,81,3,94,3,100,4,163,12,173,3,191,15,207,7,96,10,115,10,70,0,76,3,19,3,23,0,0,0,0,38,1030,44,1110
SSC50260,0,149,20,177,12,231,20,270,5,118,20,142,10,175,14,197,6,338,29,374,15,256,27,299,20,286,25,336,32,252,40,326,25,176,35,237,17,82,14,113,29,16,4,53,174,2092,248,2520,0,141,11,153,4,242,17,263,4,110,17,129,0,157,24,183,9,332,30,373,10,274,32,318,33,284,28,347,32,279,31,343,32,193,32,256,39,115,13,168,72,32,15,121,242,2171,237,2647,0,294,31,326,12,480,43,535,13,234,33,273,10,337,29,378,16,676,59,747,24,529,57,617,54,567,55,683,60,532,78,669,64,371,66,491,56,201,24,282,103,53,16,170,412,4266,490,5168
SSC50261,3,213,3,220,12,479,12,504,5,200,3,206,0,158,3,167,3,238,10,252,3,414,25,445,8,423,24,454,3,419,24,444,13,369,13,395,11,101,7,114,20,20,4,43,79,3041,128,3240,3,202,3,208,6,433,6,445,0,178,8,184,3,146,5,154,3,252,9,261,6,452,17,471,5,446,22,467,12,474,22,515,12,360,13,379,15,90,8,106,18,20,0,45,81,3042,106,3234,4,412,14,425,17,915,17,946,7,371,12,389,3,309,6,317,8,486,25,515,13,869,34,912,9,874,38,920,19,894,45,965,26,729,25,775,26,192,13,225,36,42,5,87,160,6082,237,6479
SSC50262,0,188,11,202,14,230,14,258,4,128,9,137,4,296,28,325,16,689,68,773,6,454,36,502,11,301,39,353,30,247,32,304,47,189,26,266,34,74,14,124,27,20,8,54,191,2823,287,3293,0,199,14,214,5,217,17,238,3,119,9,136,4,211,17,231,3,693,57,749,9,455,32,493,16,292,31,335,31,261,26,315,28,162,20,216,44,82,12,144,61,36,20,115,202,2720,262,3183,0,391,21,414,15,444,37,495,4,247,21,277,7,505,46,555,19,1382,119,1519,13,907,68,988,26,595,71,694,58,501,57,615,81,350,54,479,82,158,31,264,85,52,29,170,394,5537,544,6475
SSC50263,0,3,0,3,0,5,0,3,0,0,0,3,0,0,0,0,0,4,0,4,0,3,3,3,0,3,0,9,0,9,0,6,0,9,0,9,0,5,0,5,0,0,0,0,0,46,7,52,0,7,3,11,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,5,0,12,3,11,0,3,0,3,0,0,0,0,0,0,0,0,0,40,7,46,0,11,3,10,0,6,4,14,0,0,0,3,0,0,0,0,0,11,0,11,0,3,4,5,0,10,3,11,0,15,3,21,0,16,0,16,0,5,0,5,0,0,0,0,0,88,15,97
SSC50264,0,14,0,19,0,56,3,66,0,36,0,40,0,20,4,24,0,28,0,29,0,39,8,44,3,51,9,59,0,35,12,45,0,31,18,48,3,7,16,30,0,5,6,11,11,314,79,404,0,11,0,11,0,59,3,65,0,30,3,33,0,13,0,17,0,23,4,28,0,39,3,41,0,44,4,49,0,51,6,58,0,29,4,31,0,11,3,22,0,0,4,7,7,317,46,364,0,27,0,27,0,120,8,130,0,61,3,70,0,34,4,36,0,48,5,52,0,78,11,88,3,90,9,100,0,85,22,104,0,60,25,82,4,24,22,49,3,6,14,22,22,629,127,770
SSC50265,0,10,0,9,0,29,0,31,0,4,0,6,0,8,3,15,0,25,0,25,0,27,0,27,0,22,4,26,0,43,3,53,0,16,0,18,0,7,0,10,0,0,0,0,8,193,22,214,0,13,3,14,0,19,0,17,0,3,0,3,0,8,0,11,0,22,0,25,0,21,0,19,0,22,5,25,3,32,3,34,0,16,0,16,0,9,0,10,0,0,0,4,11,153,23,184,0,17,3,23,0,49,4,47,0,9,0,12,0,21,6,26,0,45,0,49,0,46,0,44,0,45,13,58,6,79,7,86,3,31,0,34,3,13,3,23,0,3,0,3,15,348,38,405
SSC50266,0,6,0,7,0,8,0,8,0,5,0,8,0,3,0,3,0,16,4,25,0,8,3,13,0,11,0,17,0,19,5,22,0,11,3,8,6,4,0,4,0,3,0,4,8,84,19,116,0,6,0,6,0,10,0,10,0,0,0,3,0,3,0,3,0,20,3,23,0,3,0,5,0,4,3,5,0,13,4,19,0,12,0,12,4,0,0,4,7,0,0,3,12,73,12,93,0,10,0,10,0,10,0,10,0,8,3,7,0,9,0,9,3,35,10,43,0,15,0,14,0,16,8,22,3,33,8,43,0,22,4,22,7,4,0,8,8,3,3,9,15,160,34,208
SSC50267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SSC50268,3,244,8,258,17,579,19,616,3,283,4,297,0,223,14,238,0,386,20,416,6,515,14,541,6,530,31,566,13,299,16,329,14,169,5,187,7,50,3,60,3,4,0,4,79,3294,144,3510,0,234,8,244,16,583,26,616,3,320,6,333,6,201,4,212,4,428,21,453,3,572,18,596,3,590,21,615,13,305,20,339,12,157,8,177,17,47,4,72,5,7,0,12,76,3448,128,3658,3,480,15,497,27,1163,42,1233,9,607,13,627,10,426,17,447,9,818,39,865,7,1083,39,1134,10,1123,51,1176,23,608,33,667,21,326,20,368,26,95,6,131,9,9,0,25,154,6742,276,7171
SSC50269,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,21,0,29,0,0,0,3,0,4,3,3,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,5,0,3,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,28,0,4,0,3,0,5,4,7,0,0,0,0,0,3,0,3,0,9,0,9,0,4,3,5,0,14,0,14,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,43,3,49
SSC50270,0,3,0,3,0,3,0,8,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,0,0,4,0,4,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,31,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,3,3,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,16,6,24,0,8,0,8,0,5,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,6,0,5,3,11,0,12,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,45,3,55
SSC50271,0,7,0,5,0,3,0,8,0,0,0,0,0,4,0,4,0,8,3,10,0,11,0,14,0,9,0,9,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,59,0,8,0,8,0,10,0,11,0,3,0,3,0,3,0,3,0,11,0,11,0,13,3,11,0,9,0,9,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,54,0,14,0,16,0,12,0,14,0,3,0,3,0,6,0,9,0,16,3,17,0,20,5,24,0,12,0,12,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,104,8,116
SSC50272,0,131,19,152,8,258,32,297,0,122,14,143,0,101,11,111,6,220,37,256,4,223,30,252,3,239,30,271,9,185,26,214,6,165,23,194,3,71,3,84,5,19,0,21,48,1731,216,2001,3,134,9,151,5,234,22,258,3,111,14,128,0,88,10,95,3,248,30,278,6,230,21,260,7,213,38,257,3,200,16,227,8,182,18,204,20,75,4,102,13,14,8,31,74,1740,188,2004,3,271,29,305,13,487,55,556,5,236,27,268,4,188,22,212,5,470,61,537,7,456,52,516,8,449,67,528,10,384,44,440,16,343,36,402,26,148,6,187,20,26,4,57,121,3466,408,4001
SSC50273,0,17,3,18,0,62,4,66,0,35,25,59,0,37,168,201,0,24,377,406,4,36,248,289,3,82,102,182,3,61,26,91,0,25,19,41,3,9,0,6,0,0,3,6,22,377,961,1362,0,17,0,20,0,44,3,46,0,40,3,45,0,24,0,24,0,24,0,24,0,41,4,43,6,77,5,88,0,51,3,52,3,18,0,22,0,11,0,11,3,0,0,3,13,349,20,382,0,34,4,36,3,100,5,115,0,77,28,104,0,60,168,229,0,49,378,428,4,78,249,331,6,160,109,269,6,114,26,142,3,46,18,65,3,16,0,20,4,0,3,5,28,726,985,1741
SSC50274,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,7,0,8,0,8,0,8,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,36,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,19,0,4,0,4,0,4,0,4,0,3,0,3,0,7,0,7,0,9,4,15,0,12,0,11,0,9,4,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,47,9,52
SSC50275,0,3,0,3,0,11,0,11,0,6,0,6,0,3,0,3,0,6,0,9,0,4,0,4,0,17,0,15,0,19,0,21,0,11,0,11,0,6,0,9,0,0,0,0,3,87,4,93,0,3,0,3,0,8,0,6,0,0,0,0,0,0,0,0,0,9,0,4,0,11,0,14,0,16,0,16,0,20,0,20,0,8,0,8,0,3,0,3,0,0,0,0,3,77,4,80,0,12,0,12,0,19,0,18,0,5,0,9,0,3,0,3,0,11,0,15,0,13,0,18,0,29,0,32,0,36,0,38,0,21,0,23,0,9,0,14,0,0,0,0,6,164,3,173
SSC50276,3,240,12,252,19,328,13,359,4,128,12,142,0,165,10,173,4,529,47,578,10,415,17,437,17,270,24,309,10,192,7,212,7,103,5,120,5,36,7,55,8,4,0,11,86,2400,149,2637,3,240,13,254,3,302,20,328,0,117,10,127,3,168,9,176,3,569,34,599,6,408,17,438,7,286,17,311,20,205,9,232,4,101,9,116,12,30,4,50,10,6,0,13,71,2437,139,2652,4,482,22,503,19,633,32,686,4,241,16,271,4,335,16,350,6,1102,77,1178,14,822,37,873,23,552,42,616,29,394,17,442,20,201,16,230,22,73,16,109,14,10,0,26,158,4845,290,5290
SSC50277,0,10,0,13,0,27,0,28,0,13,0,13,0,18,0,18,0,28,4,32,3,20,0,23,0,25,3,32,3,23,0,27,5,24,3,36,3,24,6,39,3,9,3,13,15,228,27,269,0,6,0,8,0,15,0,15,0,12,0,12,0,14,0,14,0,36,3,39,0,32,0,37,9,30,4,44,5,47,6,59,3,32,9,45,7,54,10,71,4,20,3,26,35,308,28,377,0,23,0,21,0,44,0,41,0,28,0,28,0,35,0,35,0,64,4,74,4,52,0,58,10,57,10,79,5,74,4,83,7,56,8,77,11,79,18,106,11,27,6,39,52,536,53,641
SSC50278,0,13,3,15,0,21,5,27,0,7,0,7,0,10,0,8,0,35,4,41,0,22,9,26,0,40,4,42,0,40,9,48,7,41,3,50,0,16,3,22,0,4,0,5,8,243,34,292,0,10,0,15,0,12,3,11,0,7,0,7,0,13,0,13,0,24,5,33,0,18,4,19,0,24,3,31,3,37,4,43,0,35,3,39,3,15,3,23,4,0,0,4,14,197,32,235,0,20,7,25,0,36,9,44,0,9,0,13,0,15,3,19,0,62,14,75,0,36,8,52,0,58,10,70,7,75,8,89,4,76,12,90,6,34,4,47,3,4,0,6,21,441,69,527
SSC50279,0,0,0,3,0,12,3,16,0,4,0,9,0,0,0,3,0,4,4,6,0,7,0,6,0,16,4,22,0,10,0,9,0,14,5,14,0,3,0,6,0,0,0,0,0,79,16,99,0,4,0,4,0,8,0,12,0,8,0,8,0,3,0,3,0,3,0,3,0,7,0,7,0,14,3,23,0,11,0,17,0,4,0,6,0,3,4,7,0,0,0,0,0,74,10,83,0,8,0,5,0,21,5,25,0,13,0,15,0,7,3,7,0,12,4,16,0,16,0,17,0,35,5,40,0,23,0,21,0,20,4,23,3,8,3,10,0,0,0,0,3,150,26,182
SSC50280,0,36,3,38,4,50,3,55,0,23,0,23,0,40,0,40,0,69,4,80,3,80,9,93,3,76,4,83,6,62,5,80,6,42,7,49,3,18,3,22,0,0,0,0,23,499,40,565,0,34,0,34,3,71,3,75,0,31,0,30,0,36,0,36,0,84,4,93,0,64,0,68,3,75,4,80,3,71,4,76,6,30,3,43,3,15,3,18,0,0,0,0,21,515,21,557,0,74,0,75,3,120,3,136,3,53,0,56,3,79,0,80,3,160,9,170,4,151,7,161,6,148,11,162,10,134,10,157,5,72,10,88,3,27,11,43,0,0,0,0,45,1014,62,1128
SSC50281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,16,0,16
SSC50282,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,7,0,3,0,4,0,3,0,4,0,4,0,3,0,0,0,0,0,28,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,4,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,6,0,8,0,0,0,0,0,3,0,4,0,3,0,3,0,3,0,3,0,7,3,14,0,7,3,4,0,3,0,7,0,4,0,4,0,0,0,0,0,43,9,50
SSC50283,0,5,0,3,0,9,0,9,0,3,0,3,0,4,0,4,0,8,0,7,0,4,0,5,0,6,0,13,0,10,0,15,0,3,3,9,0,0,0,4,0,3,0,3,3,67,7,74,0,0,0,0,0,8,0,8,0,8,0,8,0,4,0,3,0,8,0,6,0,3,0,3,0,12,0,8,3,12,3,17,0,4,0,9,0,0,0,0,0,0,0,0,3,57,4,66,0,8,3,6,0,15,0,15,0,11,0,11,0,9,0,11,0,15,3,19,0,11,0,11,0,20,0,20,3,20,0,26,0,7,3,11,0,5,0,10,0,4,0,5,8,122,16,144
SSC50284,0,3,0,3,0,10,0,10,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6,0,10,0,14,0,10,3,11,0,6,3,6,0,0,0,0,0,0,0,0,0,57,8,60,0,3,0,3,0,12,0,12,0,3,0,3,0,0,0,0,0,7,0,7,0,10,0,10,0,5,0,3,0,8,4,7,0,10,0,10,0,3,0,3,0,0,0,0,0,54,3,55,0,5,0,5,0,23,0,23,0,3,0,3,0,3,0,3,0,5,0,5,0,17,0,17,0,15,3,19,0,13,7,19,0,17,3,20,0,4,0,4,0,3,0,3,0,107,10,117
SSC50285,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,4,0,7,0,8,0,6,0,3,0,5,0,3,0,4,0,0,0,0,0,32,8,39,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,3,7,0,3,0,7,0,0,0,0,0,5,3,9,0,5,0,5,0,0,0,0,0,0,0,0,0,16,4,25,0,3,0,3,0,4,0,6,0,0,0,0,0,5,0,3,0,6,0,7,0,7,0,7,0,5,0,10,0,8,3,12,0,6,3,14,0,3,0,4,0,0,0,0,0,48,10,66
SSC50286,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,7,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,25,0,25,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,8,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,30,0,30,0,3,0,3,0,8,0,8,0,3,0,3,0,0,0,0,0,3,0,3,0,10,0,10,0,6,0,6,0,7,0,7,0,5,0,5,0,0,0,0,0,0,0,0,0,58,0,58
SSC50287,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,12,0,11
SSC50288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,0,4,0,3,3,7,0,3,0,3,0,0,0,0,0,0,0,0,0,14,7,19
SSC50289,0,44,3,47,4,139,14,152,3,72,5,81,0,44,3,54,0,81,7,84,0,82,12,94,7,136,18,155,3,129,11,151,4,78,6,82,3,19,0,19,0,10,0,12,28,820,76,926,0,35,3,37,3,95,8,104,3,47,3,53,0,42,3,49,0,82,7,91,6,106,12,129,3,152,8,168,8,128,3,143,7,65,6,80,8,24,7,33,5,0,0,9,41,790,65,898,0,79,4,87,8,234,23,255,5,116,11,131,0,90,8,99,0,162,14,175,8,187,23,220,6,287,27,323,11,262,19,287,6,139,17,162,14,40,5,58,7,8,3,21,72,1614,143,1828
SSC50290,0,25,4,32,9,64,5,76,0,33,0,38,0,14,0,14,0,30,4,42,0,57,6,65,0,72,9,88,3,66,12,80,0,40,0,42,3,12,3,16,0,3,3,3,16,431,50,495,3,19,0,22,3,41,5,51,0,19,0,21,0,18,4,16,0,39,4,41,0,65,3,66,0,69,9,80,3,62,3,66,5,32,7,41,5,15,3,18,3,0,0,3,18,374,35,433,3,48,5,55,8,105,12,125,0,56,6,64,0,27,4,29,0,69,9,84,0,118,11,133,0,144,21,163,3,129,8,147,4,76,7,86,8,25,6,38,4,3,4,5,37,801,81,921
SSC50291,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,19,0,23,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,10,0,9,0,0,0,0,0,6,0,6,0,4,0,4,0,3,0,3,0,0,0,0,0,30,0,37
